name,record,height,weight,reach,stance,dob,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,url
Ricardo Arona,14-5-0,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",:1.66,:48%,:1.15,:57%,:2.41,:48%,:58%,:1.2,http://ufcstats.com/fighter-details/05fbfe628658c538
Roan Carneiro,21-11-0,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978",:1.46,:46%,:1.82,:62%,:3.05,:42%,:83%,:1.4,http://ufcstats.com/fighter-details/1c86754617d9813a
Ivan Serati,12-4-0,"6' 0""",205 lbs.,--,Orthodox,--,:0.86,:26%,:5.33,:29%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b23fca14c7b79935
Amir Rahnavardi,11-10-0,"6' 0""",205 lbs.,--,Orthodox,"Dec 07, 1974",:0.67,:25%,:0.00,:100%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/bc7f7f0ba3db74d2
Lucas Almeida,15-4-0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",:4.94,:39%,:5.04,:44%,:0.00,:0%,:53%,:0.0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Ralph Dillon,0-2-1,"6' 2""",205 lbs.,--,Orthodox,--,:0.34,:14%,:0.69,:60%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b4f7a2d8ecc5e0c3
Dmitry Sosnovskiy,11-0-0,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989",:2.95,:70%,:2.53,:35%,:3.16,:66%,:100%,:3.2,http://ufcstats.com/fighter-details/85ff1b9471d35238
Rafael Cavalcante,12-7-0 (1 NC),"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",:2.71,:53%,:3.62,:49%,:0.60,:40%,:63%,:0.1,http://ufcstats.com/fighter-details/5c1ca0c72b599a3c
Brad Blackburn,18-13-1 (1 NC),"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",:4.55,:35%,:3.59,:65%,:0.93,:50%,:76%,:0.7,http://ufcstats.com/fighter-details/7e69a4b0961aa555
Keith Wisniewski,28-15-1,"6' 0""",170 lbs.,--,Orthodox,"Oct 25, 1981",:2.32,:52%,:4.86,:42%,:1.57,:40%,:78%,:0.3,http://ufcstats.com/fighter-details/cd12227edd3f134b
Sam Sicilia,15-8-0,"5' 8""",145 lbs.,"67""",Orthodox,"Feb 01, 1986",:2.46,:33%,:3.55,:59%,:1.45,:43%,:70%,:0.9,http://ufcstats.com/fighter-details/b8aef0faf4ce9b31
Trevin Jones,13-10-0 (1 NC),"5' 7""",135 lbs.,"70""",Southpaw,"Aug 04, 1990",:2.13,:37%,:4.29,:39%,:0.62,:15%,:60%,:0.2,http://ufcstats.com/fighter-details/ec23c1be628d8057
Nicco Montano,5-3-0,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",:5.60,:41%,:4.43,:64%,:2.25,:54%,:69%,:0.4,http://ufcstats.com/fighter-details/1de9ad94de18eeaf
Mario Mingaj,7-0-0,--,185 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/1ccaeae54725d897
Dylan Potter,10-6-0,"6' 2""",225 lbs.,"77""",Switch,"Jan 14, 1995",:3.10,:48%,:5.78,:46%,:0.00,:0%,:33%,:1.1,http://ufcstats.com/fighter-details/61e47575b24a06bf
Joe Pyfer,15-3-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 17, 1996",:3.47,:43%,:3.05,:53%,:1.23,:33%,:50%,:1.0,http://ufcstats.com/fighter-details/c1085e1701b13eca
Jon Madsen,8-2-0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",:2.46,:41%,:1.18,:81%,:1.32,:71%,:70%,:0.0,http://ufcstats.com/fighter-details/7691a80e6ca3e55b
Steve Byrnes,6-1-0,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1979",:1.20,:51%,:2.67,:27%,:3.00,:60%,:0%,:4.0,http://ufcstats.com/fighter-details/43612456979e5d5e
Brandon Melendez,25-25-0,"5' 11""",155 lbs.,--,Southpaw,"Mar 24, 1983",:0.84,:26%,:0.56,:63%,:0.00,:0%,:25%,:0.0,http://ufcstats.com/fighter-details/2b06b6ad5db63348
Sam Stout,20-12-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984",:4.17,:28%,:4.08,:57%,:0.63,:38%,:77%,:0.1,http://ufcstats.com/fighter-details/501b07aec9b8fc2d
Satoshi Ishii,15-8-1,"5' 11""",240 lbs.,--,Orthodox,"Dec 19, 1986",:1.41,:36%,:1.58,:63%,:3.47,:52%,:100%,:1.6,http://ufcstats.com/fighter-details/c8a49ff2acb6f3c5
Jordan Vucenic,13-4-0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 02, 1996",:2.11,:45%,:1.90,:58%,:0.63,:14%,:44%,:0.0,http://ufcstats.com/fighter-details/6d38e41efa47a72d
Dokonjonosuke Mishima,21-7-2,"5' 7""",155 lbs.,--,Southpaw,"Apr 19, 1972",:1.06,:41%,:1.22,:52%,:2.47,:40%,:25%,:1.4,http://ufcstats.com/fighter-details/b14a68c533f4a4aa
Ronaldo Candido,6-0-0,"5' 6""",125 lbs.,--,Southpaw,"Apr 24, 1989",:1.67,:42%,:3.87,:52%,:8.00,:53%,:0%,:5.0,http://ufcstats.com/fighter-details/23fbe02caabcd214
Rulon Gardner,1-0-0,"6' 3""",265 lbs.,--,Orthodox,"Aug 16, 1971",:2.05,:25%,:1.45,:60%,:0.75,:100%,:100%,:0.0,http://ufcstats.com/fighter-details/4f7e290e71d60f87
Mizuto Hirota,18-10-2,"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",:3.36,:40%,:3.50,:54%,:1.36,:50%,:58%,:0.1,http://ufcstats.com/fighter-details/35faad160d346839
Matt Ricehouse,6-1-0,--,155 lbs.,--,,"Mar 11, 1987",:3.70,:44%,:4.80,:47%,:1.00,:22%,:81%,:0.0,http://ufcstats.com/fighter-details/343d57cde1a14338
Brendan Allen,25-7-0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",:3.85,:53%,:3.96,:47%,:1.65,:41%,:56%,:1.2,http://ufcstats.com/fighter-details/2f181c0467965b98
Josh Diekmann,15-8-0 (1 NC),"5' 4""",246 lbs.,--,,"Oct 09, 1976",:0.28,:5%,:8.17,:25%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/414bddf0c80c41e1
Maiquel Falcao,37-10-0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981",:1.67,:55%,:0.53,:86%,:1.00,:100%,:71%,:3.0,http://ufcstats.com/fighter-details/d58478ded5534695
Ray Perales,13-22-0,"5' 10""",170 lbs.,--,Orthodox,"Jul 02, 1975",:0.18,:25%,:2.39,:32%,:0.00,:0%,:33%,:0.0,http://ufcstats.com/fighter-details/9a70f67ad2187fa3
Viviane Pereira,13-2-0,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",:2.70,:30%,:4.48,:58%,:0.25,:100%,:28%,:0.2,http://ufcstats.com/fighter-details/d50382dc0565a9e1
Joseph Benavidez,28-8-0,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",:3.52,:34%,:2.67,:61%,:1.41,:30%,:62%,:0.6,http://ufcstats.com/fighter-details/80eacd4da0617c57
Richard Odoms,13-3-0,"6' 5""",265 lbs.,--,Orthodox,"May 08, 1975",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/f43907e75f8d9baa
Jason Von Flue,14-12-1,"6' 0""",170 lbs.,--,Orthodox,"Aug 01, 1975",:1.89,:36%,:3.23,:52%,:0.62,:16%,:58%,:1.5,http://ufcstats.com/fighter-details/c4b9296214f4c09c
Vernon White,26-33-2,"6' 0""",205 lbs.,--,Southpaw,"Dec 03, 1971",:2.11,:38%,:2.20,:54%,:0.88,:28%,:44%,:0.0,http://ufcstats.com/fighter-details/12458872d6afae1b
Minoki Ichihara,0-1-0,"5' 7""",178 lbs.,--,Orthodox,"Jun 30, 1968",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/4565d435005319c0
Karl Williams,10-2-0,"6' 3""",235 lbs.,"79""",Orthodox,"Jan 06, 1990",:2.68,:48%,:2.15,:55%,:4.20,:48%,:100%,:0.2,http://ufcstats.com/fighter-details/d35f734c56a89103
Robert Valentin,11-6-0 (1 NC),"6' 2""",185 lbs.,"77""",Orthodox,"Mar 31, 1995",:1.13,:56%,:2.83,:32%,:0.00,:0%,:55%,:1.3,http://ufcstats.com/fighter-details/0cd0456d6029cec2
Paul Varelans,9-9-0,"6' 8""",300 lbs.,--,Orthodox,"Sep 17, 1969",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/07a18ae55dfc3cd9
Fares Ziam,17-4-0,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",:2.85,:51%,:1.62,:64%,:1.62,:40%,:70%,:0.2,http://ufcstats.com/fighter-details/1e4f273069fb9e85
Joey Gambino,9-2-0,"5' 7""",145 lbs.,--,Orthodox,"Oct 26, 1988",:2.47,:35%,:2.53,:51%,:0.00,:0%,:42%,:0.8,http://ufcstats.com/fighter-details/10559c53de0b950e
Cesar Gracie,0-1-0,"5' 10""",181 lbs.,--,Orthodox,--,:0.00,:0%,:17.14,:50%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/079488710f012779
Rosi Sexton,13-5-0,"5' 3""",135 lbs.,--,Orthodox,"Jul 16, 1977",:3.31,:39%,:7.42,:41%,:0.75,:10%,:80%,:0.0,http://ufcstats.com/fighter-details/5dfe71ade71f3a4b
Rashid Vagabov,14-2-0,"5' 7""",125 lbs.,"63""",Orthodox,"Jun 27, 1998",:1.87,:38%,:0.93,:67%,:3.00,:50%,:100%,:3.0,http://ufcstats.com/fighter-details/0d1190beced94f7c
Sam Watford,2-2-0,--,155 lbs.,--,,--,:0.13,:18%,:0.73,:62%,:2.00,:40%,:60%,:1.0,http://ufcstats.com/fighter-details/1836639ecf9b6e7f
Alex Gorgees,6-1-0,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",:0.67,:32%,:2.27,:38%,:0.00,:0%,:54%,:0.0,http://ufcstats.com/fighter-details/803bebcfb6d6f506
Chelsea Hackett,3-1-1,"5' 4""",125 lbs.,"66""",Switch,"Aug 16, 1998",:2.58,:51%,:4.85,:46%,:0.00,:0%,:57%,:0.0,http://ufcstats.com/fighter-details/184b7a36d50dcc5e
Alex Hunter,2-0-0,"5' 9""",226 lbs.,--,Orthodox,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/baa5358456803df8
Cal Worsham,13-10-0,"5' 11""",230 lbs.,--,Orthodox,"Jun 11, 1963",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/de3ed2e152520c8d
Hugo Cunha,8-2-0,"6' 3""",263 lbs.,"79""",Orthodox,"Feb 04, 1993",:0.60,:30%,:3.01,:34%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/46a17755f80f63e8
Chris Cariaso,17-8-0,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",:3.35,:43%,:2.23,:61%,:1.11,:39%,:57%,:0.8,http://ufcstats.com/fighter-details/b2e3aca4cd363477
Jimy Hettes,11-3-0,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 09, 1987",:3.47,:57%,:3.50,:57%,:5.20,:44%,:61%,:1.4,http://ufcstats.com/fighter-details/893d51aaf024eddd
Phil Caracappa,6-1-0,"5' 8""",135 lbs.,"70""",Orthodox,"Jun 05, 1992",:2.93,:50%,:4.07,:29%,:1.00,:8%,:100%,:1.0,http://ufcstats.com/fighter-details/bd81a97864acf098
Manon Fiorot,12-2-0,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",:5.58,:41%,:3.59,:66%,:1.06,:29%,:87%,:0.0,http://ufcstats.com/fighter-details/34ff304266360297
Bibiano Fernandes,20-3-0,"5' 7""",139 lbs.,--,Orthodox,"Mar 30, 1980",:2.91,:40%,:2.02,:72%,:3.97,:53%,:77%,:0.6,http://ufcstats.com/fighter-details/cbc071cb20ea59c7
Hakeem Dawodu,13-4-1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",:5.45,:50%,:3.37,:56%,:0.00,:0%,:65%,:0.0,http://ufcstats.com/fighter-details/2c9d00968f818270
Kin Moy,8-3-0,"5' 5""",135 lbs.,--,,--,:2.30,:33%,:1.93,:62%,:1.67,:42%,:50%,:1.7,http://ufcstats.com/fighter-details/ae922e7d9e852d7a
Kotetsu Boku,25-11-2,"5' 9""",154 lbs.,--,Orthodox,"May 27, 1977",:2.47,:42%,:2.80,:53%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/d227958e8a0c1466
Jordan Parsons,11-2-0,"5' 9""",145 lbs.,--,,"Aug 26, 1990",:3.29,:40%,:2.37,:60%,:1.54,:21%,:50%,:1.0,http://ufcstats.com/fighter-details/8b2a18d3c6735083
Efrain Escudero,28-12-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",:2.92,:44%,:2.30,:63%,:1.31,:40%,:66%,:0.8,http://ufcstats.com/fighter-details/83fd97284f4bb4a4
Anthony Leone,15-8-0,"5' 6""",135 lbs.,--,Orthodox,"May 27, 1987",:1.94,:53%,:2.52,:56%,:1.72,:18%,:0%,:0.0,http://ufcstats.com/fighter-details/86b9b51a81e9c339
Michal Oleksiejczuk,21-9-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",:5.34,:51%,:4.41,:59%,:1.02,:43%,:52%,:0.0,http://ufcstats.com/fighter-details/0d65c432720accb9
Joshua Wang-Kim,5-2-0,"5' 9""",135 lbs.,"71""",Switch,"Nov 16, 1992",:2.95,:40%,:4.43,:60%,:1.17,:100%,:66%,:0.0,http://ufcstats.com/fighter-details/d538f13ab21d9633
Randy Couture,19-11-0,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",:2.85,:57%,:1.53,:59%,:2.78,:46%,:58%,:0.5,http://ufcstats.com/fighter-details/0aa92558424ced9e
Jonathan Wiezorek,11-2-0,"6' 3""",250 lbs.,--,Southpaw,"Feb 10, 1978",:1.27,:58%,:5.47,:31%,:1.91,:20%,:0%,:0.0,http://ufcstats.com/fighter-details/60884f31ead1609c
Joe Duarte,10-4-0,--,155 lbs.,--,,"Jan 25, 1977",:2.27,:38%,:4.00,:53%,:3.00,:50%,:69%,:1.0,http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3
Eli Tamez,10-0-0,"5' 7""",135 lbs.,--,,"Aug 22, 1985",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/bfd4d50591033a1f
Reginaldo Vieira,13-5-0,"5' 7""",135 lbs.,"65""",Orthodox,"Nov 26, 1982",:3.76,:40%,:2.89,:59%,:1.97,:27%,:25%,:0.8,http://ufcstats.com/fighter-details/f9081770e28ea2e1
Izabela Badurek,6-3-0,"5' 5""",115 lbs.,--,Orthodox,"Jul 11, 1991",:3.74,:71%,:4.90,:32%,:1.75,:12%,:100%,:0.0,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
TJ Grant,21-5-0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",:3.95,:54%,:3.21,:56%,:1.63,:43%,:36%,:0.6,http://ufcstats.com/fighter-details/a26198ba5093147e
Andrew Sanchez,13-7-0,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988",:4.30,:43%,:5.10,:50%,:2.55,:36%,:100%,:0.0,http://ufcstats.com/fighter-details/fccf811c1e8b01c7
Magno Almeida,10-3-0 (1 NC),"6' 0""",155 lbs.,--,,"Jun 06, 1985",:1.67,:36%,:2.60,:41%,:0.00,:0%,:40%,:5.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Nate Diaz,22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",:4.57,:45%,:3.77,:52%,:1.05,:30%,:41%,:1.3,http://ufcstats.com/fighter-details/8355922d564b152c
Enrique Marin,10-4-0,"5' 10""",170 lbs.,--,,"Sep 02, 1986",:1.43,:33%,:3.00,:50%,:2.50,:38%,:60%,:1.0,http://ufcstats.com/fighter-details/23a6e307077c6ccc
Akitoshi Tamura,21-18-2,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",:3.73,:43%,:1.94,:78%,:0.00,:0%,:20%,:1.0,http://ufcstats.com/fighter-details/c95fbc085e17a532
Mike Campbell,13-4-0,"5' 9""",155 lbs.,--,Southpaw,"Nov 15, 1982",:1.40,:26%,:1.40,:63%,:5.26,:100%,:0%,:0.0,http://ufcstats.com/fighter-details/f5585e675af7afd4
Chris Brown,10-1-0,--,170 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/9e2624ac992660c6
Aziz Khaydarov,21-7-0,"5' 11""",155 lbs.,"72""",Orthodox,"Sep 25, 1993",:2.60,:61%,:2.80,:61%,:0.00,:0%,:85%,:0.0,http://ufcstats.com/fighter-details/a072b512b6f4fc42
Roy Nelson,22-14-0,"6' 0""",263 lbs.,"73""",Orthodox,"Jun 20, 1976",:2.18,:36%,:4.79,:46%,:1.14,:27%,:65%,:0.1,http://ufcstats.com/fighter-details/3f7c14c7eca7195d
Ibo Aslan,14-3-0,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",:5.09,:47%,:3.47,:59%,:0.00,:0%,:86%,:0.0,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
Felice Herrig,14-10-0,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",:3.84,:37%,:5.19,:48%,:1.08,:28%,:75%,:0.8,http://ufcstats.com/fighter-details/b6850671a008bf9a
Bruno Korea,7-3-0,"5' 6""",135 lbs.,"65""",,"Jun 28, 1991",:2.12,:34%,:3.96,:42%,:0.00,:0%,:25%,:0.0,http://ufcstats.com/fighter-details/6c011be66326ad97
Icaro Brito,7-1-0,--,145 lbs.,--,,"Mar 09, 1999",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/06dd61c8d545c63f
Guram Kutateladze,13-5-0,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992",:3.53,:45%,:4.22,:54%,:0.61,:15%,:75%,:0.0,http://ufcstats.com/fighter-details/7772b283d288dbe2
Brok Weaver,15-6-0,"6' 0""",155 lbs.,"73""",Southpaw,"Dec 05, 1991",:4.78,:64%,:4.35,:46%,:0.41,:10%,:66%,:0.4,http://ufcstats.com/fighter-details/7c9f96f9a6a5cd50
John Devine,6-4-0,--,--,--,,--,:1.52,:18%,:2.28,:57%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2bcc39af95d6f2e8
Louis Gaudinot,8-4-0 (1 NC),"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",:2.34,:37%,:6.42,:48%,:0.57,:40%,:31%,:1.1,http://ufcstats.com/fighter-details/b72a60a0cadff408
Andrey Koreshkov,19-2-0,"6' 0""",170 lbs.,--,,"Aug 23, 1990",:2.84,:39%,:1.92,:63%,:4.80,:53%,:0%,:0.0,http://ufcstats.com/fighter-details/aee885b8ca29ab4f
Oleg Taktarov,17-5-2,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/1dc56b59cb28425d
Steve Berger,21-23-2 (1 NC),"5' 11""",170 lbs.,--,Orthodox,"May 20, 1973",:1.00,:27%,:3.26,:36%,:0.84,:40%,:16%,:1.7,http://ufcstats.com/fighter-details/21b1132949f2a9b0
Gilbert Burns,22-9-0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",:3.15,:48%,:3.64,:52%,:2.12,:37%,:53%,:0.5,http://ufcstats.com/fighter-details/23024fdfc966410a
Jordan Espinosa,15-9-0 (1 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",:4.22,:52%,:2.94,:57%,:0.75,:28%,:70%,:0.2,http://ufcstats.com/fighter-details/215a70f073a7b726
Joe Charles,6-13-0,"6' 1""",260 lbs.,--,Southpaw,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/19ffeb5e3fffd6d5
George Hardwick,12-2-0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 06, 1996",:3.60,:38%,:4.60,:71%,:0.00,:0%,:83%,:0.0,http://ufcstats.com/fighter-details/f55a6807b6bb853d
Alton Cunningham,4-2-0,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",:3.33,:75%,:4.94,:20%,:1.67,:10%,:100%,:0.0,http://ufcstats.com/fighter-details/305bde44ff664788
Hiroshi Izumi,4-2-0,--,205 lbs.,--,Orthodox,"Jun 22, 1982",:1.95,:37%,:2.65,:66%,:3.35,:70%,:100%,:0.5,http://ufcstats.com/fighter-details/53e4e21f4c688801
JaeHyun Park,8-4-0,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 10, 2001",:1.75,:67%,:1.36,:45%,:2.31,:85%,:22%,:0.4,http://ufcstats.com/fighter-details/fe1595732dfb08fc
Sako Chivitchian,8-1-0,"5' 11""",155 lbs.,--,Orthodox,"Mar 11, 1984",:2.40,:27%,:4.80,:46%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4
Jeremy Hamilton,9-2-0,--,185 lbs.,--,,"Nov 14, 1984",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/7ada6ea792a34424
Jon Kunneman,10-0-0,--,185 lbs.,--,,"Jul 14, 1999",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2694c4997a51ed01
Waachiim Spiritwolf,12-13-1 (2 NC),"5' 8""",170 lbs.,--,,"Jan 01, 1976",:10.00,:100%,:10.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/71caa995674203aa
Jaime Alvarez,6-1-0,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",:2.73,:40%,:4.53,:56%,:1.00,:33%,:50%,:0.0,http://ufcstats.com/fighter-details/4438482bd1d5a029
Huang Feier,14-8-0,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 12, 1994",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/e71c75f533a30daa
Yuki Ishikawa,0-2-0,"5' 11""",205 lbs.,--,Orthodox,"Feb 08, 1967",:1.07,:28%,:8.57,:11%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/119ebea97e914dcf
Jan Finney,11-12-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 18, 1980",:2.16,:28%,:8.75,:42%,:0.77,:11%,:25%,:0.0,http://ufcstats.com/fighter-details/3317823959d32a05
Zhou Kun,13-4-0,--,125 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/d027fff39a34a9df
Matt Grice,15-5-0,"5' 8""",145 lbs.,"70""",Orthodox,"Jul 29, 1981",:4.09,:53%,:2.69,:56%,:2.19,:37%,:82%,:0.5,http://ufcstats.com/fighter-details/bfc2fc38a0e20211
Feng Pengchao,15-9-1,--,135 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/86597694317e5e1b
Isao Kobayashi,21-4-4,"5' 8""",145 lbs.,--,,"Oct 28, 1988",:1.01,:33%,:1.66,:45%,:2.17,:100%,:100%,:0.0,http://ufcstats.com/fighter-details/a02652d063ef5baa
Booker DeRousse,6-5-0,"6' 2""",205 lbs.,--,,"Mar 23, 1981",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/f2c91b67f71bbeab
Kristian Rothaermel,4-3-0,"6' 0""",205 lbs.,--,Open Stance,"Jan 31, 1972",:0.75,:50%,:2.49,:41%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/af49a6c491ca22a3
Liudvik Sholinian,9-4-1,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 20, 1990",:2.50,:30%,:5.67,:55%,:0.00,:0%,:66%,:0.0,http://ufcstats.com/fighter-details/1a54231796e24a3f
Tom Gallicchio,19-10-0,"5' 10""",170 lbs.,--,Southpaw,"Sep 23, 1986",:3.53,:26%,:7.07,:43%,:1.00,:11%,:0%,:0.0,http://ufcstats.com/fighter-details/cc81c92fe2254935
Julius Walker,7-1-0,"6' 4""",205 lbs.,"78""",Orthodox,"Jul 16, 1999",:4.33,:55%,:3.53,:43%,:3.50,:36%,:100%,:0.0,http://ufcstats.com/fighter-details/6add18754930182b
Frank Shamrock,23-10-2,"5' 10""",185 lbs.,--,Orthodox,"Dec 08, 1972",:4.75,:53%,:4.66,:57%,:0.35,:50%,:37%,:1.1,http://ufcstats.com/fighter-details/fcaae0385b514f11
Felipe Silva,8-2-0,"6' 0""",155 lbs.,"77""",Orthodox,"May 08, 1984",:5.40,:50%,:1.80,:59%,:1.00,:100%,:71%,:0.0,http://ufcstats.com/fighter-details/1b38a2b897f6209c
Jodie Esquibel,6-6-0,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",:4.10,:31%,:7.37,:52%,:0.75,:21%,:83%,:0.0,http://ufcstats.com/fighter-details/411539901068522f
Vinicius Salvador,14-7-0,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 24, 1996",:5.48,:43%,:6.50,:48%,:0.36,:11%,:86%,:0.0,http://ufcstats.com/fighter-details/65cdf4ec31143d86
Yves Jabouin,20-11-0,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979",:3.06,:41%,:2.93,:62%,:1.94,:60%,:82%,:0.1,http://ufcstats.com/fighter-details/b4eeac608fc82f88
Gabriel Miglioli,9-9-0,"5' 8""",170 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/a6fa5dd90528e9f7
Losene Keita,16-1-0,"5' 8""",145 lbs.,"72""",Orthodox,"Dec 30, 1997",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5b43d68174b6e2ab
Stephen Palling,11-7-1,"5' 4""",143 lbs.,--,,"Jan 29, 1967",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ab7c212de9f66af0
Bentley Syler,5-1-0,"5' 4""",125 lbs.,--,Orthodox,"Dec 22, 1982",:1.30,:18%,:1.73,:79%,:0.00,:0%,:75%,:0.0,http://ufcstats.com/fighter-details/abd2109bc4cb0291
Julieta Martinez,8-0-0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 14, 2004",:2.53,:44%,:3.60,:41%,:5.00,:45%,:100%,:0.0,http://ufcstats.com/fighter-details/f77afa72da84c9a8
